SA,SRR,ORIG,REP,T
sa217,SRR7134170,X12,5.0,12
sa218,SRR7134171,X9,5.0,12
sa219,SRR7134172,X10,5.0,12
sa220,SRR7134173,X2,8.0,3
sa221,SRR7134174,X2,8.0,2
sa222,SRR7134175,X2,8.0,1
sa223,SRR7134176,X2,7.0,10
sa224,SRR7134177,X2,8.0,7
sa225,SRR7134178,X2,8.0,6
sa226,SRR7134179,X2,8.0,5
sa227,SRR7134180,X2,8.0,4
sa228,SRR7134181,X2,8.0,9
sa229,SRR7134182,X2,8.0,8
sa230,SRR7134191,X6,3.0,5
sa231,SRR7134192,X6,3.0,4
sa232,SRR7134195,X2,3.0,10
sa233,SRR7134196,X2,3.0,11
sa234,SRR7134197,X2,3.0,8
sa235,SRR7134198,X2,3.0,9
sa236,SRR7134199,X2,3.0,6
sa237,SRR7134200,X2,3.0,7
sa238,SRR7134201,X2,3.0,4
sa239,SRR7134202,X2,3.0,5
sa240,SRR7134203,X2,4.0,1
sa241,SRR7134204,X2,4.0,2
sa242,SRR7134216,X6,5.0,4
sa243,SRR7134217,X9,1.0,12
sa244,SRR7134218,X10,1.0,12
sa245,SRR7134219,X7,1.0,12
sa246,SRR7134220,X8,1.0,12
sa247,SRR7134221,X1,2.0,12
sa248,SRR7134222,X2,2.0,12
sa249,SRR7134223,X11,1.0,12
sa250,SRR7134224,X12,1.0,12
sa251,SRR7134225,X3,2.0,12
sa252,SRR7134226,X4,2.0,12
sa253,SRR7134227,X6,5.0,5
sa254,SRR7134228,X7,2.0,12
sa255,SRR7134229,X8,2.0,12
sa256,SRR7134230,X5,2.0,12
sa257,SRR7134231,X6,2.0,12
sa258,SRR7134232,X11,2.0,12
sa259,SRR7134233,X12,2.0,12
sa260,SRR7134234,X9,2.0,12
sa261,SRR7134235,X10,2.0,12
sa262,SRR7134236,X1,3.0,12
sa263,SRR7134237,X2,3.0,12
sa264,SRR7134238,X6,2.0,10
sa265,SRR7134241,X6,6.0,8
sa266,SRR7134242,X6,6.0,7
sa267,SRR7134243,X6,2.0,11
sa268,SRR7134244,X6,6.0,5
